timestamp,bucket_values
2021-04-15T07:25:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.006, 0.004, 0.005, 0.01, 0.008, 0.016, 0.032, 0.07, 0.135, 0.198, 0.225, 0.169, 0.079, 0.027, 0.009, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-04-16T07:27:00,"[0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.004, 0.004, 0.003, 0.008, 0.007, 0.008, 0.012, 0.018, 0.044, 0.106, 0.199, 0.239, 0.196, 0.095, 0.036, 0.013, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-04-17T07:59:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.004, 0.005, 0.005, 0.006, 0.008, 0.015, 0.031, 0.074, 0.142, 0.223, 0.228, 0.151, 0.066, 0.027, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-04-18T08:34:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.004, 0.004, 0.005, 0.006, 0.01, 0.014, 0.028, 0.059, 0.145, 0.209, 0.214, 0.155, 0.098, 0.035, 0.009, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-04-19T07:25:30,"[0.0, 0.0, 0.0, 0.0, 0.003, 0.007, 0.009, 0.024, 0.068, 0.138, 0.15, 0.141, 0.12, 0.106, 0.092, 0.073, 0.043, 0.017, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-04-20T07:34:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.007, 0.01, 0.023, 0.031, 0.034, 0.058, 0.105, 0.163, 0.177, 0.155, 0.117, 0.069, 0.029, 0.013, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-04-21T07:30:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.004, 0.005, 0.014, 0.021, 0.04, 0.091, 0.16, 0.189, 0.18, 0.136, 0.084, 0.044, 0.018, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-04-22T07:29:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.006, 0.009, 0.011, 0.012, 0.023, 0.044, 0.081, 0.125, 0.161, 0.171, 0.16, 0.107, 0.055, 0.02, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-04-23T07:23:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.002, 0.003, 0.009, 0.012, 0.013, 0.023, 0.042, 0.093, 0.154, 0.188, 0.184, 0.141, 0.077, 0.037, 0.013, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-04-24T08:07:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.006, 0.008, 0.012, 0.014, 0.028, 0.061, 0.127, 0.186, 0.195, 0.158, 0.106, 0.054, 0.024, 0.009, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-04-25T08:36:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.004, 0.005, 0.008, 0.008, 0.01, 0.024, 0.062, 0.126, 0.178, 0.201, 0.165, 0.112, 0.058, 0.022, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-04-26T07:33:00,"[0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.004, 0.005, 0.008, 0.014, 0.014, 0.016, 0.032, 0.082, 0.146, 0.188, 0.179, 0.128, 0.084, 0.05, 0.029, 0.012, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-04-27T07:28:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.005, 0.009, 0.013, 0.036, 0.048, 0.057, 0.073, 0.095, 0.132, 0.157, 0.154, 0.108, 0.064, 0.028, 0.01, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-04-28T08:12:00,"[0.0, 0.0, 0.0, 0.001, 0.011, 0.197, 0.272, 0.228, 0.129, 0.069, 0.05, 0.024, 0.011, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-04-29T07:29:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.005, 0.008, 0.017, 0.016, 0.029, 0.062, 0.107, 0.159, 0.186, 0.171, 0.121, 0.066, 0.029, 0.01, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-04-30T07:29:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.005, 0.01, 0.044, 0.082, 0.057, 0.051, 0.074, 0.121, 0.161, 0.158, 0.12, 0.069, 0.026, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"