timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-05-01T09:27:30,19.2,1.5,7.723,17.6,2.5,6.295,,,,15.6,1.0,2.575
2021-05-02T08:23:30,18.4,0.7,7.206,17.8,1.7,9.624,,,,-1.0,0.0,1.825
2021-05-03T06:45:00,19.4,0.8,6.167,-1.0,0.0,2.164,,,,-1.0,0.0,1.765
2021-05-04T07:54:30,18.4,0.8,6.643,17.2,1.9,12.179,,,,17.2,1.6,4.073
2021-05-05T07:26:30,17.6,1.7,5.066,17.6,1.7,5.066,,,,-1.0,0.0,1.633
2021-05-06T07:37:30,29.8,0.2,2.693,29.8,0.2,2.693,,,,-1.0,0.0,1.223
2021-05-07T07:40:30,18.8,0.8,7.149,17.4,1.9,4.871,,,,-1.0,0.0,1.859
2021-05-08T10:03:30,18.4,0.9,3.442,-1.0,0.0,1.361,,,,-1.0,0.0,2.063
2021-05-09T08:32:30,0.0,0.0,2.447,-1.0,0.0,2.197,,,,-1.0,0.0,1.673
2021-05-10T07:39:30,17.2,1.3,6.11,18.2,2.6,5.394,,,,22.4,0.8,4.985
2021-05-11T07:29:00,17.8,1.1,10.513,17.4,1.2,7.388,,,,19.2,1.6,4.003
2021-05-12T07:29:00,17.2,1.3,10.507,16.2,1.5,8.172,,,,17.6,0.8,5.516
2021-05-13T09:11:00,17.0,1.9,9.52,16.6,1.8,7.418,,,,18.0,0.6,4.213
2021-05-14T08:42:30,19.6,1.2,7.507,17.6,1.6,10.486,,,,19.6,0.8,3.092
2021-05-15T10:34:00,21.4,0.8,4.38,17.2,1.7,5.832,,,,22.2,0.5,3.627
2021-05-16T09:20:30,19.2,0.7,6.745,18.2,2.0,12.592,,,,-1.0,0.0,2.37
2021-05-17T07:45:00,18.6,0.9,4.126,18.6,2.4,7.736,,,,-1.0,0.0,1.304
2021-05-18T07:44:30,18.2,1.0,9.99,18.4,1.1,7.632,,,,-1.0,0.0,1.714
2021-05-19T07:34:00,18.2,1.7,10.507,17.0,2.4,8.894,,,,16.8,1.6,7.502
2021-05-20T07:29:30,17.4,1.3,7.676,17.6,1.8,8.27,,,,-1.0,0.0,1.909
2021-05-21T07:23:00,18.0,1.1,7.971,17.2,3.0,7.384,,,,-1.0,0.0,2.446
2021-05-22T08:55:30,19.4,1.2,10.552,16.2,1.1,3.735,,,,-1.0,0.0,1.45
2021-05-23T09:14:30,18.2,1.2,8.325,17.0,1.6,6.74,,,,-1.0,0.0,2.256
2021-05-24T11:40:30,18.4,1.0,8.056,17.2,1.7,5.233,,,,-1.0,0.0,2.052
2021-05-25T07:38:30,18.0,1.5,5.744,17.4,1.9,10.425,,,,18.8,1.8,4.746
2021-05-26T07:06:30,19.0,0.9,5.771,17.4,0.6,4.237,,,,-1.0,0.0,2.151
2021-05-27T07:31:30,21.0,0.8,5.722,17.0,1.5,5.602,,,,17.8,0.9,5.89
2021-05-28T07:28:30,17.2,1.3,9.578,17.2,1.3,9.578,,,,17.4,0.4,3.852
2021-05-29T07:24:30,29.8,0.2,3.14,-1.0,0.0,2.374,,,,-1.0,0.0,1.787
2021-05-30T08:40:30,19.0,1.8,5.462,18.8,0.6,4.465,,,,-1.0,0.0,1.322
2021-05-31T06:24:30,22.0,0.6,3.282,-1.0,0.0,2.154,,,,-1.0,0.0,2.199